t,Rec_Obs,TGFb_pRec_Obs,pS3_Obs,geneK_Obs
0,2.14896145397581,0,9.18326539558041e-18,1.09289909125547
9.5,NaN,NaN,NaN,1.11138130165876
10,2.45011072356382,NaN,NaN,NaN
15,NaN,0,1.05210977687488e-17,NaN
20,NaN,NaN,NaN,0.857454369414576
25,2.14731017006015,NaN,NaN,NaN
30,NaN,0,8.53662387483464e-18,1.01339162519244
40,2.36361793841915,NaN,NaN,0.971096463198269
45,NaN,0,1.08856763946737e-17,NaN
55,2.11187226398005,NaN,NaN,0.943274651562404
60,NaN,NaN,8.76519270897797e-18,NaN
65,NaN,0,NaN,NaN
70,NaN,NaN,NaN,0.975967114031571
75,2.63298066491941,NaN,NaN,NaN
85,NaN,0,9.39281488979434e-18,1.01257606987326
95,1.93516346890429,NaN,NaN,NaN
100,NaN,0,1.03038919091707e-17,NaN
