t,Rec_Obs,TGFb_pRec_Obs,pS3_Obs,geneK_Obs
0,1.84322111217883,0,9.42351913861077e-18,0.912596071809428
10,2.06230235543209,0,9.34330359452178e-18,0.994626335603133
20,1.689904745258,NaN,NaN,NaN
25,NaN,0,8.51626436743563e-18,1.01196016636617
35,1.77205844933314,NaN,NaN,1.06585952432284
40,NaN,0,9.75440730393828e-18,NaN
50,1.51158551973049,NaN,NaN,1.09877332979326
55,NaN,0,8.28600443650357e-18,NaN
65,1.98162441031615,NaN,NaN,0.861878791715017
70,NaN,0,NaN,NaN
75,NaN,NaN,9.81245881315954e-18,NaN
85,2.08637390251268,NaN,NaN,1.05063832198125
90,NaN,0,NaN,NaN
