t,Rec_Obs,TGFb_pRec_Obs,pS3_Obs,geneK_Obs
0,1.96432237185506,0,0.000893096528950252,0.897090690636239
55,NaN,0.157397043210671,0.823848594412207,NaN
75,NaN,NaN,NaN,0.90228723985414
80,1.38616048607905,NaN,NaN,NaN
100,NaN,0.141828291424897,0.758271606697407,NaN
150,1.54009083053025,NaN,0.665004865295622,0.630408821801736
200,NaN,0.0513398892205672,NaN,NaN
250,0.949219744584714,0.0450650833092706,0.322745761462438,0.61957627948536
300,NaN,0.0290594935263139,0.273925343419686,0.605096044522261
350,1.33937774943298,NaN,NaN,NaN
400,NaN,0.018564413562933,0.151313217627259,0.459719734876299
450,1.07542124682784,0.0113242667016461,0.113631799609562,NaN
550,NaN,0.00707331885433303,0.0560439874486705,0.438466205858112
600,1.07448666038168,NaN,NaN,NaN
650,NaN,0.00331305801366381,NaN,0.482537270729507
700,NaN,NaN,0.0324739866359042,NaN
750,0.80862751209128,NaN,NaN,NaN
800,NaN,0.00186146756707587,NaN,0.481335545601581
850,NaN,NaN,0.0148557294785376,NaN
900,1.27450787003047,NaN,NaN,NaN
950,NaN,0.000821275250316518,NaN,NaN
1000,0.969278958106735,0.000597109000780105,0.00747674240756151,0.818847537135803
1500,1.02104291043564,NaN,NaN,1.08010206733965
