t,Rec_Obs,TGFb_pRec_Obs,pS3_Obs,geneK_Obs
0,1.96665491121794,0,1.10310631314084e-17,0.905807064049051
10,1.97141795925926,0,1.10417586087979e-17,0.92426590775268
25,2.13359921058118,0,9.07422412042317e-18,0.979057657722193
35,2.10889180173166,0,NaN,NaN
40,NaN,NaN,9.16436247122601e-18,0.866592931725693
50,1.81712913160513,0,NaN,NaN
55,NaN,NaN,1.01562127654081e-17,0.997459656761002
70,1.94435988579373,0,NaN,NaN
75,NaN,NaN,1.08313622882764e-17,1.0265520757574
90,2.16384630425107,0,NaN,NaN
95,NaN,NaN,1.02465071074052e-17,1.11727075718612
