t,Rec_Obs,TGFb_pRec_Obs,pS3_Obs,geneK_Obs
0,1.92577467835429,0,9.82896287662919e-18,1.05510748826217
10,1.8870721719964,0,NaN,1.03371787247446
15,NaN,NaN,1.03189731919766e-17,NaN
25,2.10911360942206,0,8.34827658284182e-18,0.926861963042743
35,2.05476967597646,0,NaN,NaN
40,NaN,NaN,9.04854806403591e-18,1.11003232435645
50,1.94440425733234,0,NaN,NaN
55,NaN,NaN,NaN,1.02876968492071
60,NaN,NaN,9.02643264045113e-18,NaN
65,1.92694466571672,0,NaN,NaN
75,NaN,NaN,1.06401667250226e-17,0.917729135115726
85,2.01846647013368,0,NaN,NaN
95,NaN,NaN,NaN,0.889786762833925
100,NaN,NaN,1.03552938431816e-17,NaN
