t,EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,SHP1Act_Obs,STAT5_Obs,pSTAT5_Obs,npSTAT5_Obs,CISnRNA2_Obs,CISnRNA3_Obs,SOCS3nRNA1_Obs,SOCS3nRNA2_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,-0.00359133409049203,0.00138107610730669,-0.000607140486152867,46.8720588341846,-0.687325545018739,0.580651614028739,271.722470650086,-153.340013692184,3.4804776840114e-05,0.000127677267527658,0.00614709199738701,-0.407214114416772
4,NaN,0.526139001358223,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,NaN,NaN,NaN,NaN,NaN,NaN,317.860629612655,39.5670813445514,NaN,NaN,NaN,NaN
5.5,0.165875905651628,NaN,NaN,NaN,NaN,4.11424221623419,NaN,NaN,NaN,NaN,NaN,NaN
6,NaN,NaN,NaN,5.6741766469225,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.5,NaN,NaN,NaN,NaN,33.2090054946851,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,NaN,0.718766740149551,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00147839103933639,NaN,NaN
9.5,NaN,NaN,NaN,NaN,NaN,NaN,634.717221835282,NaN,NaN,NaN,NaN,0.511371719970223
10,0.168909896614175,0.562389168218006,0.0800205705492914,7.01888413569681,NaN,13.4490494981031,NaN,310.5492895257,0.00211051827873567,NaN,-0.00492024183691309,NaN
15,0.180674323100403,0.257149909179907,NaN,NaN,21.1541034813277,18.1504152851863,1747.83532504007,763.474378427321,NaN,0.00247329442059157,NaN,NaN
20,NaN,0.148660261547343,NaN,8.63656585222811,19.7306021906226,NaN,3035.57750162641,1352.37634775463,0.00272304803176209,NaN,0.0313747879779579,4.55415182250436
25,0.143584930092969,NaN,0.134259382048804,17.1134224395056,NaN,18.1331446216288,3805.93424087749,NaN,NaN,0.00274947526972246,NaN,NaN
30,0.161797985422625,0.0354345720959537,NaN,NaN,10.3935460250769,16.4267923875049,NaN,3582.03471798423,0.00261361362235203,NaN,NaN,8.08889838768076
35,NaN,0.0464568913092259,0.154549156254357,26.9928809792988,9.03754314564002,15.089285071331,5254.57771490583,3845.93922998942,NaN,0.00226111477241512,0.0803762897851067,NaN
40,0.106847359453772,NaN,NaN,NaN,NaN,NaN,5781.24935427571,NaN,NaN,NaN,NaN,12.0049963271185
45,NaN,0.0561277386824786,NaN,34.1634564428496,6.45529320111302,11.7571052192499,NaN,5506.00973524218,0.00173203047581575,0.00164235032575559,0.102500660456227,NaN
50,0.13182358658997,NaN,0.128119418506099,NaN,NaN,NaN,4660.75995719122,NaN,NaN,NaN,NaN,NaN
55,NaN,0.084394181828131,NaN,31.9992294628,NaN,7.58029401515113,NaN,4594.93907935312,0.00121279383570833,NaN,NaN,14.4351379523021
60,0.122863081386939,NaN,NaN,NaN,3.65335391657715,NaN,4339.69080074424,NaN,NaN,0.00097647509813171,0.105363887311836,NaN
65,NaN,NaN,0.144944782622003,NaN,NaN,NaN,NaN,4081.98046436371,NaN,NaN,NaN,13.9412830829525
70,NaN,NaN,NaN,34.1476500619846,2.27274749077205,4.89724647497159,NaN,NaN,0.000804065100468337,NaN,NaN,NaN
75,0.128769397236559,NaN,NaN,NaN,NaN,NaN,2873.51486241081,3847.92847484682,NaN,0.000874332518276528,NaN,NaN
80,NaN,NaN,0.136878107673957,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0877376492259152,NaN
85,NaN,NaN,NaN,37.7218860434482,NaN,4.01182550800909,2123.11775711527,NaN,NaN,NaN,NaN,12.6843838346301
90,0.119252494879413,NaN,NaN,NaN,1.08234217633612,NaN,NaN,2384.50701855452,0.000600143292179073,0.000625395606787687,NaN,NaN
95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0963084745511779,NaN
100,NaN,NaN,0.1508669132893,37.5793808494218,3.28385641801002,3.17165082067945,1562.56488165662,1821.48895111247,0.000494137812831952,0.000564215485052279,0.104065094497968,12.1629840484914
150,NaN,NaN,0.155657976270248,NaN,NaN,NaN,NaN,NaN,0.000299710648193559,0.000544298396010022,0.0501368596348682,9.41638013202633
200,NaN,NaN,0.161138741101346,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0741381360060061,8.38441526731893
