t,EpoRpJAK2_Obs,STAT5_Obs,npSTAT5_Obs,CISnRNA1_Obs,CISnRNA2_Obs,CIS_Obs,SOCS3nRNA4_Obs,SOCS3nRNA5_Obs,SOCS3_Obs
0,0.0142685356943227,40.6665850703663,0.10799677879579,-376.425152894475,-61.1207347836442,213.626918808601,-7.27535646999548e-05,-8.23624565874495e-06,-0.593709240451068
6,NaN,NaN,NaN,465.21088412167,187.824000668056,NaN,NaN,NaN,NaN
7,0.620228054493535,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.5,NaN,30.9857818581138,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,NaN,NaN,0.769057911278987,NaN,NaN,NaN,NaN,NaN,NaN
15,0.435430595651564,22.2205581536119,7.02986252740629,1585.22321980377,486.032902297823,178.769657702291,0.000901507844178145,0.000813922932059617,-0.700475665064698
20,0.26735739958423,NaN,NaN,2178.22991914633,1282.43501853267,NaN,NaN,NaN,NaN
25,NaN,19.6158186175983,11.9688837220432,2951.74085045376,1778.9864322715,NaN,0.00193284389618242,0.00188292011694796,1.64922877754786
30,0.195031636033249,NaN,NaN,NaN,NaN,216.301556170837,NaN,NaN,NaN
35,NaN,23.0475928859046,13.0243686512127,4341.69637195381,3376.02793692999,NaN,NaN,NaN,NaN
40,0.178954399296485,NaN,NaN,NaN,NaN,NaN,0.00191640821046785,NaN,6.7780268180504
45,NaN,29.9808763698842,11.6736829268168,4436.9253049598,3985.12493616155,175.197098458387,NaN,0.00192199073984708,NaN
50,0.141695430198613,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,NaN,27.516497149752,NaN,3877.63269639815,4193.93547794241,NaN,NaN,NaN,9.96014492833954
60,NaN,NaN,8.16203229268086,NaN,NaN,213.526956551592,0.00143801517865307,0.00166823574359882,NaN
65,0.13954162618223,NaN,NaN,3286.02242200976,3662.9293923647,NaN,NaN,NaN,NaN
70,NaN,35.8345438568267,6.71556856954257,NaN,NaN,NaN,NaN,NaN,10.6526899221856
80,0.156864607205906,32.5102303720933,NaN,2995.49071370544,3054.47057860348,209.658743308746,0.000995328945496963,0.000911073873965109,NaN
85,NaN,NaN,6.20837083600641,NaN,NaN,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.2102845268281
95,0.1724355230455,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100,0.157931287042082,38.2338270181804,3.98268776428466,2001.28135035544,2210.78678085073,193.642260755013,0.000717199853654357,0.00071612932988709,11.2908653393722
150,NaN,34.2788930415095,4.72181839357145,NaN,NaN,215.576513752152,0.00086040883018604,0.000853015370208368,10.2965663610659
200,NaN,NaN,NaN,NaN,NaN,223.709230010274,NaN,NaN,11.059506367572
250,NaN,NaN,NaN,NaN,NaN,249.065299304884,NaN,NaN,10.5039898028581
300,NaN,NaN,NaN,NaN,NaN,226.129489278464,NaN,NaN,8.37887928834735
