t,EpoRpJAK2_Obs,p2EpoRpJAK2_Obs,STAT5_Obs,pSTAT5_Obs,npSTAT5_Obs,CISnRNA1_Obs,CISnRNA2_Obs,CISnRNA4_Obs,CIS_Obs,SOCS3nRNA4_Obs,SOCS3nRNA5_Obs
0,-0.00838380982492918,0.00569747926074984,41.9802935207279,-0.312077359345958,-2.20638306752788,137.482845939906,-8.7648081010519,59.3728949380984,0.815233836498183,-0.000133556679937753,4.3885288459786e-05
4,NaN,NaN,NaN,NaN,NaN,NaN,-174.198579562007,NaN,NaN,NaN,NaN
4.5,0.186255464431723,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,NaN,0.416497188225166,5.72155277458445,NaN,4.26960675378067,138.296555917505,NaN,NaN,NaN,NaN,NaN
5.5,NaN,NaN,NaN,36.0977050423382,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-8.31486320094128,NaN,NaN,NaN
7.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000882108655843842,NaN
8,NaN,NaN,NaN,NaN,NaN,NaN,326.790909673491,NaN,NaN,NaN,NaN
9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.948208749682735,NaN,0.00111618150911627
9.5,0.142873669732237,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,NaN,0.273885666960355,6.09837523874735,28.8626488376572,14.4820194384883,1491.34596680912,608.286186535733,NaN,NaN,NaN,NaN
15,0.171797361401606,0.212551773686925,9.35262124256916,NaN,17.2437658132268,4035.19963903303,1401.55108998796,140.776483428453,NaN,0.00240237320992035,NaN
20,0.167434900262818,0.144704186944143,11.3918297931154,18.544653493375,18.3576530704589,4887.19092870882,2661.21023470075,385.307325674001,-0.767212501564809,NaN,0.00296948518021436
25,0.153462590969352,NaN,NaN,14.386333237164,NaN,NaN,NaN,1175.77470505856,NaN,0.00288431817549333,NaN
30,NaN,0.0920381345632237,20.4410303096707,11.8997515514775,16.3978157743404,6370.75791717768,5044.87614368884,NaN,1.96009812644939,NaN,0.00266352852090343
35,0.130321744880446,0.0894778732215335,23.5648171315877,NaN,13.7154344075239,5938.90259414118,5470.25315384159,2349.3572341314,NaN,0.00226324227041622,NaN
40,0.128648867940548,NaN,NaN,7.32060076079024,NaN,NaN,5785.71507445085,NaN,5.78667656396494,NaN,0.00221929414088189
45,NaN,0.0715292670855215,27.640581363239,NaN,9.92429218789458,4724.31928691846,NaN,4245.51039819845,NaN,0.00162601703949977,NaN
50,0.127428687864743,NaN,NaN,7.14899014343218,NaN,NaN,4746.7413075957,NaN,11.8645861985509,NaN,0.00178910300028858
55,NaN,0.0736976718881014,33.978653443448,NaN,8.88939917949587,3449.82382324591,NaN,4916.69963299461,NaN,0.0014633305915847,NaN
60,0.114368309705522,NaN,NaN,3.9300870833895,NaN,NaN,4672.3888455725,NaN,NaN,NaN,NaN
65,NaN,0.0523837098301993,33.5984399184824,NaN,6.36090259439294,2855.90237746345,NaN,4570.65212985921,26.3313246194288,NaN,0.00108147104462973
70,0.122757430453081,NaN,NaN,3.61029223944705,NaN,NaN,NaN,NaN,NaN,0.000894243927910014,NaN
75,NaN,0.0856005542131632,38.7319404380004,NaN,NaN,1761.81855534396,2273.1417482583,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,1.90159572574529,NaN,NaN,3709.32485867163,35.182652276362,NaN,0.000442394702580941
85,0.126284111759279,NaN,NaN,1.57129071041082,NaN,NaN,NaN,NaN,NaN,NaN,NaN
90,NaN,0.0571652708925518,37.4096347683335,NaN,NaN,1115.89270343963,1517.5714180167,NaN,NaN,0.00034392144011795,NaN
95,NaN,NaN,NaN,NaN,3.43578012642571,NaN,NaN,2341.32649305627,NaN,NaN,NaN
100,NaN,NaN,35.5072241872582,1.80317053953602,NaN,1505.51790139291,NaN,2469.04750985001,48.040597728115,0.000653138374027496,0.000583904352030231
150,NaN,NaN,NaN,NaN,NaN,NaN,NaN,994.869912189071,42.9069372486249,NaN,0.000543638993837214
200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,38.8428458968313,NaN,NaN
