t,EpoRpJAK2_Obs,STAT5_Obs,npSTAT5_Obs,CISnRNA1_Obs,CISnRNA2_Obs,CIS_Obs,SOCS3nRNA4_Obs,SOCS3nRNA5_Obs,SOCS3_Obs
0,-0.00842689561961991,43.2984103889381,-0.0180774227781036,23.3891428622184,14.8759664435273,0.00956822322828653,5.56576315384504e-06,-1.40769924608229e-05,74.0835865720732
7,NaN,49.8704440907832,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,0.198408170088425,NaN,0.0582693584654196,-9.14819397656381,-9.21972168435194,0.137893522320104,NaN,NaN,NaN
15,NaN,46.493845088586,NaN,NaN,NaN,NaN,NaN,1.50504398409023e-05,61.6104587662083
20,0.176573195818342,44.4061072484616,NaN,32.1702474100011,18.370198771652,NaN,3.3094432632347e-05,NaN,NaN
25,NaN,NaN,0.521591525988998,NaN,NaN,-0.155886193276203,NaN,NaN,NaN
30,NaN,43.5136077312569,NaN,137.946169473065,NaN,NaN,NaN,9.06315581737888e-05,74.456324598843
35,0.140403525163631,NaN,0.711897060261503,NaN,138.264127743978,NaN,NaN,NaN,NaN
40,NaN,38.2122821578568,NaN,NaN,NaN,0.250522783614599,NaN,NaN,NaN
45,0.122847426421273,NaN,NaN,278.599586119203,198.464455176937,NaN,0.000133039519942908,0.000151153045857575,NaN
50,NaN,36.8166873039541,0.903096706359583,NaN,NaN,0.2158325000736,NaN,NaN,70.4051340634282
55,NaN,NaN,NaN,339.992032673375,NaN,NaN,NaN,NaN,NaN
60,0.139947235605541,30.7344875598721,NaN,NaN,293.367779280867,NaN,NaN,NaN,NaN
65,NaN,NaN,0.911592514360266,NaN,NaN,NaN,0.000142193562678333,0.000134187782747208,77.8118201196604
70,NaN,37.9939019343028,NaN,325.665808966042,NaN,0.849591382485367,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,329.3450811773,NaN,NaN,NaN,NaN
80,0.133563928727499,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
85,NaN,38.0164837862811,0.823761180476425,NaN,NaN,1.72534305036659,NaN,0.000127135537717387,68.5858970140095
90,NaN,NaN,NaN,272.876462744624,303.039220652439,NaN,NaN,NaN,NaN
95,0.130940156120204,NaN,NaN,NaN,NaN,NaN,0.000133667850730591,NaN,NaN
100,0.118473007828609,38.1023071703118,0.720237755915879,276.911258456482,289.189780925736,2.36053437462257,0.000118165253731455,0.00011929701611935,77.523869414094
150,0.109978022983546,NaN,0.663053068500679,224.56881380354,228.041506666538,4.31399896512105,0.000109023825066158,0.000109060015278299,77.7757775875669
200,0.13561673609873,NaN,0.607101760591552,260.486252741128,250.80053937134,5.08359566005778,0.000114321762322572,0.000111581942684589,78.5064385294285
250,NaN,NaN,NaN,248.123722408749,252.779902644451,5.4788179277495,0.000104996866128595,NaN,75.0298259174778
300,NaN,NaN,NaN,NaN,NaN,5.76594235301518,NaN,NaN,74.7387460045064
