t,EpoRJAK2_Obs,EpoRpJAK2_Obs,p1EpoRpJAK2_Obs,p2EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,SHP1Act_Obs,STAT5_Obs,pSTAT5_Obs,npSTAT5_Obs,CISnRNA1_Obs,CISnRNA2_Obs,CISnRNA3_Obs,CISnRNA4_Obs,CIS_Obs,SOCS3nRNA1_Obs,SOCS3nRNA2_Obs,SOCS3nRNA4_Obs,SOCS3nRNA5_Obs,SOCS3_Obs
0,4.04572278747138,0.00301942347071424,0.00104081982713793,0.0109921718097451,-0.00147760062700789,-0.000503551630491425,44.2013714059265,-0.727791264486541,0.656055054591354,-84.3345654798912,167.231154335152,-93.6738627794517,212.843060626271,4.18427719863608,-5.33193918584633e-05,0.000101254647756339,8.69600062105232e-05,7.96468263131348e-05,0.481288404959392
9.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,212.274900140225,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.331278475207033
10,2.19567107958155,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1870.19514822791,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,NaN,NaN,0.0359189538862836,0.301193375022197,0.996822487919038,0.045839626356675,4.16483325599469,25.5333706209792,17.1716586404786,NaN,NaN,NaN,2.31470498717971,NaN,NaN,NaN,NaN,NaN,NaN
20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3081.39251179112,1696.48797216994,NaN,NaN,0.00309950011602627,NaN,0.00307458333158044,0.00306866273548895,5.00331568912806
25,3.04140093312939,0.175102048891856,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5823.74463687352,NaN,NaN,1277.88074696682,NaN,NaN,0.00300117646311674,NaN,NaN,NaN
30,NaN,NaN,0.0355134393395616,NaN,0.230051830325717,NaN,NaN,13.0083450470819,18.4632270216234,NaN,5548.6271694585,NaN,NaN,3.96223183423138,NaN,NaN,NaN,NaN,9.46670175317319
35,NaN,NaN,NaN,0.151754823387379,NaN,0.0792984815675797,23.7994423557492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40,3.22738322589272,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5918.17307389613,5769.31335040564,5068.1420872525,3382.26594780523,NaN,NaN,NaN,NaN,NaN,11.406059326624
45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.75640468013399,13.1590053475021,NaN,NaN,NaN,NaN,NaN,0.00203006718899624,NaN,0.00217689666554843,0.00202697948834829,NaN
