t,epo_level,SOCS3nRNA2_Obs
100,2.5e-09,0.000308499692600122
100,2.5e-09,0.000382475398622394
100,2.5e-09,0.000430065959460524
100,2.5e-08,0.00050868362351072
100,2.5e-08,0.00051248812880175
100,2.5e-08,0.000560009203520261
100,1.25e-07,0.000545258310338878
100,1.25e-07,0.000704148726216428
100,1.25e-07,0.000751037385792636
100,2.5e-07,0.000815411531276791
100,2.5e-07,0.000819785312921549
100,2.5e-07,0.000833890949959351
100,2.5e-06,0.00141561293189252
100,2.5e-06,0.00143273058323853
100,2.5e-06,0.00149299278837072
