t,EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,SHP1Act_Obs,STAT5_Obs,pSTAT5_Obs,npSTAT5_Obs,CISnRNA2_Obs,CISnRNA3_Obs,SOCS3nRNA1_Obs,SOCS3nRNA2_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,-0.0215014928107986,-0.031259296668071,-0.00414449506462762,44.0597396607278,0.185658560662599,0.303437201355466,-184.239734142236,54.1228068780088,-8.36372470617609e-05,-5.30290517774018e-05,0.000635429072215279,1.35112941749128
3.5,0.19633010121843,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.5,NaN,0.550236748338403,NaN,NaN,NaN,NaN,NaN,-179.390882708044,NaN,NaN,NaN,NaN
5.5,NaN,NaN,NaN,2.36565435517422,NaN,5.82333166496894,NaN,NaN,NaN,NaN,NaN,NaN
6,NaN,NaN,0.0154098764380911,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.5,NaN,NaN,NaN,NaN,36.6768293033124,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0010123635088399,NaN,NaN
7.5,0.153437707381088,NaN,NaN,NaN,NaN,NaN,-70.3146699383222,NaN,NaN,NaN,NaN,NaN
9,NaN,1.24772873540423,NaN,NaN,NaN,NaN,NaN,NaN,0.00197468086216383,NaN,NaN,NaN
9.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90.9508480714874,NaN,NaN,NaN,NaN
10,0.163420489206747,NaN,0.0342682039216029,0.848542105664242,NaN,11.5218610864227,NaN,NaN,NaN,NaN,-0.000361112698669746,1.34157939116144
15,0.134193740084973,1.05530439681802,NaN,8.71900836672799,23.5194099928945,NaN,1474.08964232871,462.256408838885,NaN,0.00267518454586959,NaN,NaN
20,0.161425133182412,0.593888585459549,0.058212094541716,NaN,20.8450242418481,19.175529871377,3167.25367731423,1792.67418084583,0.00314026430286023,0.0032331523957108,NaN,4.25900404852405
25,0.150101223309409,0.2951542572137,0.0759610760607963,18.3303788012826,16.9004398086257,18.512671101248,NaN,2433.48399770622,NaN,NaN,0.0493729480800085,NaN
30,NaN,NaN,NaN,20.0054608193994,NaN,18.6027290996655,4906.98688951847,3744.76892807898,0.00281728848157099,0.00274433918670166,NaN,8.33751647172614
35,0.156020626551447,0.12134931917808,0.0801165527537475,20.8860177885306,13.4535449415791,NaN,NaN,NaN,NaN,NaN,0.0767014088693094,NaN
40,0.152869615355965,0.164959946851115,NaN,NaN,NaN,14.2305148339207,6126.06998421911,5240.93239509956,0.00232364235758298,0.00212979656824315,NaN,12.7161132921285
45,NaN,NaN,0.0765092327610418,28.8373140036184,8.04455367412742,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50,0.164696796100977,0.136428107805934,NaN,NaN,NaN,10.5362924977316,6254.38873444866,5312.5864160195,NaN,0.00179796771918983,0.118782201999736,NaN
55,NaN,NaN,NaN,28.5658036091186,6.37380856843769,NaN,NaN,NaN,0.0016719180982764,NaN,NaN,16.7638101776701
60,NaN,NaN,0.0767236516914107,NaN,NaN,8.48254722967759,4789.20244407808,4930.19680754523,NaN,NaN,NaN,NaN
65,NaN,0.139581799148973,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00116115888886541,0.105787621685671,14.5994194340475
70,NaN,NaN,NaN,38.4608123770192,4.34824821497653,NaN,NaN,4269.98993008467,0.00109540411561928,NaN,NaN,NaN
75,NaN,NaN,0.0754539926356566,NaN,NaN,5.77788185873736,3326.45981649041,NaN,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000821156593352338,0.107477858064748,NaN
85,NaN,NaN,NaN,35.4779292319502,4.71006076459038,NaN,NaN,3224.64701259103,0.000883984173447352,NaN,NaN,14.9461623946313
90,NaN,NaN,NaN,NaN,NaN,5.41768113713222,2024.51339668575,NaN,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00045098223240462,NaN,NaN
100,NaN,NaN,NaN,37.9726716278661,4.8994302618495,3.34302962998785,1965.36586070413,2704.79792464984,0.000714920079658701,0.000851111147512735,0.0991897959241364,12.2508191671555
150,NaN,NaN,NaN,NaN,NaN,NaN,1458.46841384742,NaN,0.000873166899285688,NaN,0.0940889487022048,10.3925125867368
200,NaN,NaN,NaN,NaN,NaN,NaN,1904.02389702021,NaN,NaN,NaN,0.0766323754974066,11.5062954353011
