t,STAT5_Obs,npSTAT5_Obs,CIS_Obs,SOCS3nRNA4_Obs
0,44.4742181735066,-0.943150676780048,-0.0507738148322655,-0.00016524478809717
6,0.862530449915259,NaN,NaN,NaN
6.5,NaN,NaN,NaN,0.00122908147071302
7.5,NaN,NaN,1.47941163509056,NaN
8.5,NaN,14.9113570196279,NaN,NaN
15,6.34333776034755,NaN,2.30696651866582,0.00314695075339591
20,9.85177241156291,21.1197864650037,NaN,0.00304178864717977
25,12.6413376510742,20.5472298415416,0.460454465919364,NaN
30,NaN,NaN,0.44291318801239,0.00290983194401573
35,19.9215018075979,17.4813936358767,NaN,NaN
40,NaN,NaN,8.55467865637477,0.0024494556582355
45,23.4101173434582,NaN,NaN,NaN
50,NaN,12.9034208728067,12.001316758868,0.00212420131611541
55,24.6939677990376,NaN,NaN,NaN
60,NaN,11.5916909018269,NaN,0.00205568288370683
65,NaN,NaN,32.0987435116097,NaN
70,30.9196564959722,NaN,NaN,NaN
75,NaN,7.2756294734642,NaN,0.00174705155462857
80,NaN,NaN,44.1159645488594,NaN
90,28.7042534837942,8.0846428703108,NaN,0.000988606548190612
100,30.1353679554695,7.93685764163807,59.811608086225,0.00122364200151401
150,NaN,6.98794781910272,70.7988470789065,NaN
200,NaN,8.75499341247349,NaN,NaN
