t,p12EpoRpJAK2_Obs,STAT5_Obs,pSTAT5_Obs,npSTAT5_Obs,CISnRNA3_Obs,SOCS3nRNA1_Obs,SOCS3nRNA2_Obs,SOCS3nRNA3_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,0.00139761444462669,36.4188817140165,-0.0516764372229652,-0.0559920659811311,0.547603546186627,5.99576671948384e-06,-7.16410700102504e-06,-2.17551972861253e-05,-0.000611763775986292,70.2913581584346
6.5,NaN,39.7851361004147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.5,0.00652443440640436,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,NaN,NaN,0.245966267272538,0.0342668987260401,NaN,NaN,1.19054942673433e-05,NaN,NaN,NaN
15,0.056947594457199,42.2769372118138,NaN,NaN,-22.8183259547187,3.02209066453494e-05,NaN,NaN,0.000694028482383216,69.2484106096063
20,NaN,35.6716871800715,0.702452189934026,0.336566514126722,NaN,NaN,NaN,3.81003545064331e-05,NaN,NaN
25,0.103307676174858,NaN,NaN,NaN,NaN,NaN,6.15305003086607e-05,NaN,NaN,NaN
30,NaN,36.1031734932271,1.01106162522446,NaN,44.5555434161965,NaN,NaN,NaN,0.00136605402315327,74.1445538395296
35,0.0948247604021238,38.9550120213341,NaN,0.715836189938407,NaN,0.000103728796459809,NaN,0.000125843752383051,NaN,NaN
40,NaN,NaN,NaN,NaN,NaN,NaN,0.000122989446963676,NaN,NaN,NaN
45,0.0735723051452122,39.5558986245259,1.09779828956018,0.868553839883819,148.756954521149,NaN,NaN,NaN,NaN,75.4775860284867
50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00343079960563458,NaN
55,0.0412781228762333,NaN,NaN,NaN,NaN,0.00014934440594338,0.000155627742512943,0.000128027424780121,NaN,NaN
60,NaN,45.2743030497818,0.938653430099051,0.760888457077261,249.17977269753,NaN,NaN,NaN,NaN,NaN
65,0.0309055111366927,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00592185451580303,73.2745067451643
70,NaN,42.1167210677566,NaN,NaN,NaN,NaN,0.000136490489137029,NaN,NaN,NaN
75,NaN,NaN,0.733758677010819,NaN,NaN,0.000137258415686206,NaN,NaN,NaN,NaN
80,0.0262703884641296,NaN,NaN,0.785759126127472,330.554089804967,NaN,NaN,0.000127221848815438,NaN,NaN
85,NaN,45.0629577936789,NaN,NaN,NaN,NaN,NaN,NaN,0.00672961028446402,75.0959168400197
90,NaN,NaN,NaN,NaN,NaN,NaN,0.000103773785778655,NaN,NaN,NaN
95,NaN,NaN,0.605929687884812,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100,0.03216886879057,39.3593559601295,0.75965284727514,0.635041384326683,313.401272540018,0.00010832271458272,0.000105699441641911,0.000115086486630755,0.00961021910991439,82.8676159374433
150,NaN,NaN,0.610445878070048,0.571406137284328,255.959593476106,9.32518310932097e-05,9.03777527459404e-05,0.000119547819807771,0.0100103225920129,74.9154907930176
200,NaN,NaN,0.644898419015339,0.631246514371052,214.998783723415,0.000121829550974856,0.000108414499386521,0.000106649524425925,0.00923271011045358,75.2006275359409
250,NaN,NaN,NaN,NaN,248.4436786067,9.42084669741414e-05,NaN,NaN,0.00963644879143956,63.2237850914388
300,NaN,NaN,NaN,NaN,241.76627573339,NaN,NaN,NaN,0.00942324247021012,82.8594718634773
