t,EpoRJAK2_Obs,EpoRpJAK2_Obs,p1EpoRpJAK2_Obs,p2EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,SHP1Act_Obs,STAT5_Obs,pSTAT5_Obs,npSTAT5_Obs,SHP1_Obs
0,4.00534643938203,0.00375678040562246,-0.00054915370085017,0.0402165559644987,0.0211107581770436,-0.00760182363317368,43.3902169306205,7.27067177732017,2.06475673325647,21.6028197719581
6,NaN,NaN,NaN,NaN,NaN,NaN,0.677787464202901,NaN,NaN,NaN
7.5,NaN,0.159043619480976,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.7567017963706
8.5,NaN,NaN,0.048455540419125,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.5,2.36938970406388,NaN,NaN,NaN,NaN,NaN,NaN,39.4220706761757,NaN,NaN
10,NaN,NaN,NaN,0.370418007071651,1.40401769373081,0.0369869791098818,-0.185766991588253,NaN,15.6043600990112,NaN
15,NaN,0.157259692511045,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.7240437571523
20,2.66266050652375,NaN,0.041924186832627,NaN,NaN,NaN,1.13067739756237,30.131361289886,22.719586122964,NaN
25,NaN,0.149762974233488,0.0454426140004869,0.293673719454039,0.60591605298032,0.0851595100984509,0.80431970625715,NaN,NaN,24.4876751440002
30,3.40935171656289,NaN,NaN,NaN,NaN,NaN,NaN,27.5723010554887,NaN,NaN
35,NaN,0.163878787868685,NaN,0.272134319210581,0.395470036114614,0.0920352959021194,2.38598602148719,NaN,27.0987225803154,19.6128732812981
40,3.95015614535652,NaN,0.0394089204287762,NaN,NaN,NaN,NaN,26.2229876572301,NaN,NaN
45,NaN,0.1691730384931,NaN,NaN,NaN,NaN,2.29986097456128,NaN,NaN,23.0207660305916
50,2.64671273384718,NaN,0.0413878777797055,0.239521184295238,0.347206278888135,0.104388496829597,NaN,NaN,24.9332250397835,NaN
55,NaN,NaN,NaN,NaN,NaN,NaN,2.58263663807829,25.0627228313778,NaN,20.9040306555759
60,NaN,0.18598990199796,0.04573991897898,NaN,0.311045248063873,NaN,NaN,NaN,NaN,NaN
65,3.26062629752822,NaN,NaN,0.276962096018987,NaN,0.0948757723989759,NaN,NaN,24.3513716907389,23.0146468362235
70,NaN,NaN,NaN,NaN,NaN,NaN,2.67438051173789,26.2166566225601,NaN,NaN
75,NaN,0.193567081630072,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
80,3.44442384260744,NaN,0.039948711922227,NaN,0.241832918921852,0.0966418286380604,NaN,NaN,21.1623221461782,19.6499678949593
85,NaN,NaN,NaN,0.239396319342465,NaN,NaN,2.92882588385264,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.8696266655861,NaN,NaN
95,2.70756118725338,NaN,0.0365577129362089,NaN,0.31069487264311,NaN,NaN,NaN,NaN,21.1173865395948
100,3.9030204585289,NaN,0.0401866730489318,0.194965822722779,0.28847231999869,0.118141791876526,NaN,NaN,20.9238099416648,20.9214189863132
150,3.14445444231314,NaN,0.0485952443953117,0.258436731605702,0.251604104929395,0.122242213846676,NaN,NaN,NaN,24.4782403072763
200,3.4461851603594,NaN,NaN,NaN,0.28369585738186,0.108818812859067,NaN,NaN,NaN,NaN
