t,X_protein_Obs,Y_protein_Obs,Y_mRNA_Obs
0,-85.9749347978271,1265.15882911288,627.555426157624
15,NaN,NaN,13.7169459122369
20,4000.00777622428,NaN,NaN
35,NaN,NaN,-5.03223512798486
40,1577.20812106364,7775.69404797095,NaN
55,NaN,NaN,2.63348577817269
60,967.764985296145,NaN,NaN
70,NaN,NaN,23.0514075952037
85,718.962029858938,1955.26582487719,NaN
95,NaN,NaN,13.643324936372
100,158.483852785266,NaN,13.1687755309043
150,1378.62409735345,1094.05539673523,-2.29850297033919
200,801.715117507905,1013.23118446808,0.210241769331192
250,512.34042621141,1329.94468060144,4.65098000099659
300,1303.88085465512,131.541481119611,-10.16539954742
400,583.161154203802,1355.04049110348,NaN
500,NaN,799.284609580963,NaN
