t,SOCS3nRNA2_Obs,Compound_2_Obs,Compound_3_Obs
0,-0.000509631011361867,-6.40403681638946,191.245727051237
4,NaN,7.28661614222975,NaN
4.5,NaN,NaN,1240.59908655791
8,NaN,103.484193525753,NaN
9,0.000689691122189374,NaN,1255.48538576857
10,NaN,139.292906732511,NaN
15,NaN,107.644300266617,1379.06740862908
20,0.00163087291103453,69.1236419824172,1162.12162371575
25,NaN,NaN,5694.34741971596
30,0.00154462627559696,76.3752866771426,6767.44466980051
35,NaN,115.83558940866,5110.51695929146
40,0.00150595881990032,NaN,NaN
45,NaN,84.1964284568518,9218.76208995797
50,0.00117368716080978,NaN,9503.58070327316
55,NaN,50.5001246286105,NaN
60,NaN,NaN,8717.39410298695
65,0.00159330551667364,-42.3149269269146,NaN
75,NaN,NaN,4337.19448075175
80,-5.85890330656705e-05,NaN,NaN
85,NaN,NaN,5688.55060021846
100,0.000713763834567144,NaN,4512.97434408037
150,0.000346806485295174,NaN,NaN
