t,epo_level,SOCS3nRNA2_Obs
12,2.5e-09,-4347.0757914097
12,2.5e-09,-837.255316276436
12,2.5e-09,408.089346908222
12,7.905e-09,-1254.69243320609
12,1.25e-08,2668.26939446218
12,1.75e-08,346.089198554138
12,2.5e-08,-1278.60970993586
12,2.5e-08,-443.189257948318
12,2.5e-08,1761.17293581877
12,3.95e-08,1608.03631267177
12,7.9e-08,-3438.78606809916
12,7.9e-08,-702.494221077856
12,7.9e-08,2196.40158952777
12,1.25e-07,380.505580233786
12,1.25e-07,2128.46791881172
12,1.25e-07,3293.92820862535
12,1.7675e-07,-1184.47450611808
12,1.7675e-07,1823.56922340205
12,1.7675e-07,2457.69189963682
12,2.5e-07,1414.66483958988
12,7.905e-07,-763.969499583506
12,7.905e-07,1853.60407709766
12,7.905e-07,2661.74901925775
12,2.5e-06,-2567.47297415599
12,2.5e-06,717.896013258943
12,2.5e-06,1116.81842203557
