t,SOCS3nRNA2_Obs,Compound_2_Obs,Compound_3_Obs
0,-0.000156414624442258,28.8244758362481,-1507.51558987256
5,NaN,16.2179581371082,NaN
8,NaN,NaN,1869.32876600717
10,0.000612777253870429,60.2572176500532,NaN
15,NaN,68.4049189332662,2178.22102995719
20,0.00188518045585204,69.2178358207529,NaN
25,NaN,81.2703883378926,3201.49618400738
30,0.00136488993270829,NaN,NaN
35,NaN,60.5053615033731,4146.10756284291
45,0.000514269617854826,43.1378175249061,7506.99353037577
55,0.00110179916232205,57.7156624014403,6293.20419878338
65,NaN,-17.4816563157686,7160.53398881164
70,0.000498076896654621,NaN,NaN
80,NaN,NaN,5858.44563564314
85,NaN,18.921251712662,NaN
90,0.000551068377331309,NaN,NaN
95,NaN,NaN,2645.49620267195
100,0.000881256181866124,NaN,2899.00399810761
150,0.000195413990041101,NaN,42.9656004921403
200,NaN,NaN,3236.69491437451
