t,SOCS3nRNA2_Obs,Compound_3_Obs,Compound_4_Obs
0,-0.000254934223630447,791.42529438046,-99.9329062023765
7,NaN,154.854794354399,NaN
8,NaN,NaN,-971.405396581855
15,0.00184922954078847,1698.6493656479,285.919703776334
20,NaN,2729.18383043193,NaN
25,NaN,NaN,-218.126477469546
30,0.00172516539062633,3250.64413298936,NaN
35,NaN,NaN,2882.26918462938
40,0.00124777627969425,8116.14597366519,NaN
45,NaN,NaN,4554.56576853861
50,NaN,5614.17470184797,NaN
55,NaN,NaN,3989.33725351377
60,0.000614063113697718,8507.5705643248,NaN
65,NaN,NaN,4327.91351164668
75,0.000828768165378736,5926.86233710323,NaN
80,NaN,NaN,5580.29696531668
90,NaN,4372.62592784899,NaN
95,0.000562492764966058,NaN,NaN
100,0.000649537675835335,4591.86782090788,3149.17439804408
150,0.000234006909218165,3526.52205805751,2835.03573255963
200,0.00044513522507649,NaN,NaN
