t,epo_level,SOCS3nRNA3_Obs
56,2.5e-09,-0.000537839520843935
56,2.5e-09,-0.000115493977184494
56,2.5e-09,0.00102547055393534
56,2.5e-08,0.00047867945289126
56,2.5e-08,0.000731128803166599
56,2.5e-08,0.000784166748146035
56,1.25e-07,0.000941469852337963
56,1.25e-07,0.0010729791749845
56,1.25e-07,0.0016543015691463
56,2.5e-07,0.000916296860884646
56,2.5e-07,0.00114165926801715
56,2.5e-07,0.00117952956809777
56,1.25e-06,0.000460198958674645
56,1.25e-06,0.000649681802732824
56,1.25e-06,0.000982198407237804
56,2.5e-06,0.000975468592729796
56,2.5e-06,0.00116460057144408
56,2.5e-06,0.00122429793073954
