t,SOCS3nRNA2_Obs,Compound_3_Obs,Compound_4_Obs
0,-5.29426006604404e-05,416.578113713171,160.494429632222
10,NaN,316.890675474258,474.622360574034
15,1.98578381457022e-05,NaN,NaN
25,NaN,867.744654031949,-46.559605550807
35,0.000235431543599592,366.456841503055,73.8531330696348
45,NaN,608.806975350866,NaN
50,0.000151585025595436,NaN,900.232929346061
60,NaN,1220.4859515832,NaN
65,NaN,NaN,943.149603745027
70,0.000248768475115069,NaN,NaN
75,NaN,1151.55913753869,NaN
80,NaN,NaN,969.837453519913
95,0.000148969197909571,996.145055321151,890.889564505801
100,8.20355880870807e-05,1291.04030293476,1020.81398862849
150,0.00011835644074168,958.526409057866,382.821892905456
200,3.46751032048246e-05,697.547048097499,690.842078781435
250,0.000174590903573378,590.258934338639,379.414599790164
300,NaN,468.797196827197,743.330457121097
