t,SOCS3nRNA2_Obs,Compound_3_Obs,Compound_4_Obs
0,-6.81501117660318e-05,400.281935213888,279.561633832893
15,0.000114163034471196,444.993308669037,-35.8871062244877
25,NaN,777.207827474572,26.6717021812894
35,0.000210485823995378,NaN,NaN
40,NaN,904.499083244722,829.313369574986
50,0.000169250287715626,NaN,NaN
55,NaN,1098.38757795814,478.759083443943
70,0.000124338439174492,948.069051689352,799.851899327492
85,NaN,1543.11637688562,600.543083935964
95,0.000117208110891827,NaN,NaN
100,0.000185026984382178,1110.75705419798,832.578611017294
150,0.000176875266811027,797.634801992035,524.958187989186
200,0.000116869830985076,537.165440327721,444.420962696683
250,0.000143077944522722,802.378027523674,413.056505622039
300,NaN,425.859698907945,453.54699983804
