t,SOCS3nRNA2_Obs,Compound_2_Obs,Compound_3_Obs
0,0.000417563222090238,-33.5489903723543,805.109271662722
4.5,NaN,34.0589177982468,NaN
8,NaN,NaN,1489.38424064731
9,NaN,80.7484916135722,NaN
15,0.00120472580104683,52.0071388480622,1940.23185732035
20,NaN,54.1890611287988,NaN
25,0.00157860464595994,65.8038483733185,4296.51400704368
30,NaN,80.518076917318,NaN
35,NaN,NaN,5261.97183908504
40,0.000704430925787263,32.0317364817205,NaN
45,NaN,NaN,6167.90821610943
50,NaN,35.0478227835429,NaN
55,0.000540781616153006,NaN,4140.37203786513
60,NaN,7.30332711217826,NaN
65,NaN,NaN,3469.31508927959
70,-5.9727206957835e-05,5.57766921153921,NaN
80,NaN,NaN,3967.73754352946
85,NaN,15.1575639519506,NaN
90,0.000546186667577282,NaN,NaN
95,NaN,NaN,3988.42347709463
100,0.000537095389862931,NaN,3258.5706130012
150,0.000571816286274736,NaN,1627.71287248992
200,6.94270733443252e-05,NaN,1914.57753804446
