t,IPR_O_Obs,IPR_R_Obs,IPR_S_Obs
0,-0.00276953260908529,0.938810358683614,-0.045196881040746
0.08,NaN,0.108903993877648,NaN
0.15,0.0289448898799906,0.0515033010934737,NaN
0.2,NaN,NaN,0.0789611444035836
0.25,NaN,0.00516927492676627,NaN
0.3,0.0190354344199917,NaN,NaN
0.35,NaN,-0.0346991882977348,NaN
0.45,0.0138168785795491,NaN,0.067350101474568
0.5,NaN,0.020210677789036,NaN
0.6,NaN,-0.0114267678154379,NaN
0.65,0.013356488738323,NaN,NaN
0.7,NaN,NaN,0.053903194944949
0.75,NaN,-0.00917164019368706,NaN
0.85,0.0183621288846463,NaN,NaN
0.95,NaN,-0.0139995557068215,NaN
1,0.0235299021038803,NaN,0.219659945021349
1.5,0.0311122970336759,NaN,0.126723179395867
2,0.0169321056637479,NaN,NaN
2.5,0.0174633432662727,NaN,NaN
