t,IPR_O_Obs,IPR_R_Obs,IPR_S_Obs
0,0.013731638803887,0.999686830766381,-0.219992712561453
0.09,NaN,-0.00718767950298001,NaN
0.1,0.137693113248521,NaN,NaN
0.15,NaN,NaN,0.126802154255533
0.2,0.0933174385700672,-0.039823151730077,NaN
0.3,NaN,-0.0454986153626845,0.544132125685876
0.35,0.0682209620528945,NaN,NaN
0.4,NaN,-0.0511525964599435,NaN
0.45,0.0698622664003904,NaN,0.405847726412427
0.55,NaN,0.0292318517407799,NaN
0.6,0.0491927018781729,NaN,0.302803256394011
0.7,NaN,-0.0282745123894195,NaN
0.75,0.0666238078596516,NaN,NaN
0.8,NaN,NaN,0.769730177108379
0.9,NaN,0.0237259418727258,NaN
0.95,0.115508382879624,NaN,NaN
1,0.0774911166671413,NaN,0.719394796559636
1.5,0.109405908087297,NaN,0.284275532654605
2,0.0723526864605415,NaN,NaN
