t,IPR_O_Obs,IPR_R_Obs,IPR_S_Obs
0,-0.0017837746896985,1.01735629190844,-0.0308837065512894
0.1,NaN,0.31139315481227,NaN
0.15,0.041813695163135,NaN,NaN
0.2,NaN,0.0821788896845602,NaN
0.25,NaN,NaN,0.0289739494788176
0.3,0.0187963667173495,NaN,NaN
0.35,NaN,0.0913533705410865,NaN
0.45,0.027835491604815,-0.0453339577636961,NaN
0.55,NaN,NaN,0.212980314480794
0.6,NaN,-0.10335441061565,NaN
0.65,0.0339071777561771,NaN,NaN
0.75,NaN,0.0210426012450844,NaN
0.85,0.0216890327861918,NaN,0.177407476402706
0.95,NaN,-0.0176124536580239,NaN
1,0.0245818685575569,-0.0513964514407419,0.108356886350081
1.5,0.0320016433881583,NaN,0.151673814848264
2,0.02479602893467,NaN,0.162771817311921
2.5,0.0210562474698037,NaN,NaN
3,0.0270791213697634,NaN,NaN
