t,IPR_O_Obs,IPR_R_Obs,IPR_S_Obs
0,0.0079148363790104,1.12420546459672,-0.0352029682710088
0.095,NaN,0.528225171503201,NaN
0.15,0.0255420189800755,NaN,NaN
0.2,NaN,0.192710874488179,0.0600465422345444
0.3,NaN,0.109416357767573,NaN
0.35,0.0383479454886634,NaN,NaN
0.4,NaN,NaN,0.0727656495022929
0.45,NaN,-0.0123386119285781,NaN
0.5,0.0364972081765372,NaN,NaN
0.6,NaN,0.124811412102993,NaN
0.65,NaN,NaN,0.150668601355825
0.7,0.0170442447945919,NaN,NaN
0.75,NaN,0.0734233462305768,NaN
0.9,NaN,NaN,0.122150223106586
0.95,0.0199391657832091,-0.0198777022274016,NaN
1,0.0226153144787809,NaN,0.15652857360508
1.5,0.0242317626728757,NaN,0.205123965272091
2,NaN,NaN,0.114339761176566
