t,IPR_O_Obs,IPR_R_Obs,IPR_S_Obs
0,-8.07266623588798e-05,1.00882045592759,3.61275742841655e-05
0.08,NaN,0.219413136996184,NaN
0.1,0.000191945442804046,NaN,NaN
0.15,NaN,0.0459640097417344,NaN
0.2,0.00015571522366346,NaN,NaN
0.25,NaN,-0.0705870083839635,NaN
0.3,7.41177002308229e-05,NaN,0.000473661079150039
0.35,NaN,0.0580985227566975,NaN
0.45,0.000125214557733212,0.00133898434419144,NaN
0.6,7.61519757666713e-05,-0.0455192355253536,0.000704333295762192
0.75,9.22918645809391e-05,0.00813252490324323,NaN
0.9,NaN,NaN,0.000784134153738595
0.95,6.50752162092825e-05,0.0467356428869649,NaN
1,7.93091814842233e-05,NaN,NaN
1.5,0.000108448587325062,NaN,0.000882308443937024
2,NaN,NaN,0.000736745647804392
