t,IPR_O_Obs,IPR_R_Obs,IPR_S_Obs
0,0.00268177815519116,0.890921432666655,0.011734049304347
0.08,NaN,0.233152807087683,NaN
0.15,NaN,0.0909697492775899,NaN
0.2,0.00887307870026268,NaN,NaN
0.25,NaN,0.0432334048026366,0.0142285254147993
0.35,NaN,-0.0391099778502937,NaN
0.4,0.0104105401060712,NaN,NaN
0.45,NaN,0.0762213080966257,0.0392841500983976
0.6,0.00829937391378194,-0.0273444714008252,NaN
0.7,NaN,0.0416021737768176,NaN
0.75,NaN,NaN,0.0449121113089708
0.8,0.00250975207307002,NaN,NaN
0.9,NaN,-0.0329798060575506,NaN
1,0.00781459018142391,NaN,0.0455316175949762
1.5,0.00726654619461731,NaN,0.0558918623770732
2,0.00732574607469227,NaN,0.0526294851223568
2.5,0.00610017083388225,NaN,NaN
3,0.00887406123426375,NaN,NaN
