t,IPR_O_Obs,IPR_R_Obs,IPR_S_Obs
0,-0.0220010083451596,0.989102533222445,0.00933555615707662
0.08,NaN,0.0765099474384102,NaN
0.15,0.0780048280052359,0.0119910279382896,NaN
0.2,NaN,NaN,0.182308634646737
0.25,0.0717240411331191,0.0704384907299182,NaN
0.35,NaN,0.0295466449078751,NaN
0.4,0.0465150910599907,NaN,0.110402813241268
0.5,NaN,-0.0115617715100049,NaN
0.55,0.0398540463165948,NaN,NaN
0.6,NaN,0.049390703662453,0.383495482030928
0.7,0.0194519281154896,NaN,NaN
0.75,NaN,0.0240300547636878,NaN
0.85,NaN,NaN,0.272383229308124
0.9,0.0581904657874454,NaN,NaN
0.95,NaN,0.00986504351136764,NaN
1,0.0660920861199318,NaN,0.315606454841804
1.5,0.0536788887195008,NaN,0.179088247589763
2,0.0469846263694675,NaN,0.280973767204763
