t,IPR_O_Obs,IPR_R_Obs,IPR_S_Obs
0,-2.98561485660031e-05,1.00261838415778,-0.000775104245548691
0.09,NaN,0.303390651406388,NaN
0.15,0.00165051111559338,NaN,NaN
0.2,NaN,0.0326040121746315,NaN
0.25,NaN,NaN,0.00403363004392989
0.3,NaN,-0.0373434672244518,NaN
0.35,0.00148855141297725,NaN,NaN
0.4,NaN,-0.0160861736937301,NaN
0.5,NaN,-0.0517873420767073,NaN
0.55,0.0007040526078234,NaN,0.00716704312691894
0.65,NaN,-0.0594521504003431,NaN
0.75,0.00115156969885189,NaN,NaN
0.85,NaN,-0.00267428354894674,0.00463746400425065
1,0.000821906650058923,-0.0301403862947566,0.00357207490295458
1.5,0.000708343507222849,NaN,0.00654875841310213
2,0.000738846877287035,NaN,0.00670823051558037
2.5,0.000634647068849101,NaN,NaN
