timepoint,cGlu_Obs,Ind_Obs
0,-1.47175072160196,-0.000629611580948329
250,10.7760809683892,NaN
400,NaN,0.0051648563017266
550,8.61226836271257,NaN
800,9.26937556621258,NaN
850,NaN,0.00425090332363429
1000,6.04562884306381,NaN
1500,9.69450915477077,0.00408716284512092
2000,7.01340425828079,0.00326681565576453
2500,8.15450550723463,0.00305907383190929
3000,6.67213332162323,0.00222994565309655
3500,NaN,0.00339768133774114
4000,7.46142563163203,NaN
4500,7.42898292979154,0.00229142056713329
5500,5.04935861050094,0.00168923664267386
6000,6.30675581050618,NaN
6500,NaN,0.000821432831748876
8000,NaN,0.00102508131105478
