timepoint,cGlu_Obs,Ind_Obs
0,-0.196242799776406,0.0119426210457946
400,0.0864988281672961,NaN
450,NaN,-0.0484642219737296
800,0.0825767081499886,NaN
950,NaN,0.0569178654639483
1500,0.467759076524601,0.164453302874169
2000,0.506817540556847,0.312114680549685
2500,NaN,0.452555522975597
3000,1.0053478716046,0.741009021183212
3500,0.8145352484472,NaN
4000,0.822794564288871,0.740465787322534
5000,0.45344478674493,0.597199554473023
6000,0.356308398222762,0.271303432873303
7000,0.189009543532843,0.0804005685586692
8500,0.159628231052865,-0.0028578120883772
