timepoint,cGlu_Obs,Ind_Obs
0,-0.0152984966882004,-0.0687435876074454
350,0.0783566333504345,0.0243471022781319
650,0.198875620119166,NaN
700,NaN,-0.081879975296763
1000,0.218668401728531,0.0413527006871054
1500,0.528864056472543,0.0736046809036978
2000,0.778483846673871,0.468272969548985
2500,0.937289653624062,0.691823459039591
3000,NaN,1.0976658637301
3500,0.941123024016077,1.03508643279034
4000,0.830352236975568,0.808623483739355
4500,0.540587168682548,NaN
5000,NaN,0.314489403805877
5500,0.276449852130405,NaN
6000,NaN,0.0463857281094861
6500,0.140717924584872,NaN
