timepoint,cGlu_Obs,Ind_Obs
0,-0.0902055385122407,0.001661717105555
400,NaN,0.0585110934869899
450,0.00881734266963805,NaN
800,NaN,0.0285259287783866
900,0.570104580999193,NaN
1500,0.991688145706722,0.749139862243473
2000,0.847690572586091,0.892034902992193
2500,0.800156772343347,0.777312502548746
3000,0.607566356154544,0.728061208918273
3500,NaN,0.56033733325406
4000,0.610894540790584,NaN
4500,NaN,0.248003844279308
5000,0.322991870707201,NaN
5500,NaN,0.160837611427613
6000,0.442414987572957,NaN
7000,0.249538962867897,0.0714442146308353
8500,0.268745011584657,NaN
