timepoint,cGlu_Obs,Ind_Obs
0,-0.0183709986534728,-0.0134600501064512
400,0.089429550534529,0.0342249750542801
800,0.210766704658155,0.191878604189891
1000,NaN,0.33592396665747
1500,0.965578761742895,0.562951291837233
2000,1.02924495062199,1.10317503373415
2500,NaN,1.33462651308261
3000,0.841186779321017,NaN
3500,0.695668042130895,0.541490318721053
4000,NaN,0.321769664616212
4500,0.27183803136232,NaN
5000,0.219216501420506,0.16024355080228
6000,NaN,0.147427985427848
6500,0.0929043886440407,NaN
7500,0.113318803688994,-0.0345251733346164
