timepoint,cGlu_Obs,Ind_Obs
0,-0.937091471654666,-0.0134760355796682
350,1.64417652365623,NaN
450,NaN,-0.0483821467261679
750,4.97069930638218,NaN
900,NaN,0.248169834801831
1000,7.63079681514307,NaN
1500,7.44484280014394,0.794588617493004
2000,6.2761159457846,0.782738501665418
2500,6.24279936536878,0.574539018459896
3000,NaN,0.492736834140599
3500,5.21554978681195,NaN
4000,3.26501683542604,0.280618330516107
5000,3.76653237987488,0.185138066689615
6000,2.89932232637502,0.209220313306097
7000,NaN,0.117826391182981
7500,2.73608303197919,NaN
8500,NaN,0.146631779840204
