timepoint,cGlu_Obs,Ind_Obs
0,2.32575306771232,0.000519814286385363
350,10.2852008446446,NaN
450,NaN,0.00497711480679533
700,7.53158771046673,NaN
950,NaN,0.00502458118856667
1000,9.61538143792688,NaN
1500,11.4755574559129,0.00415445729099153
2000,8.71727485131072,0.0036530411898285
2500,7.69254668055928,0.00343010318813819
3000,5.84819433065855,NaN
3500,7.79395451969541,0.00316469333216261
4000,4.42203125377015,0.0016752059352862
5000,5.82256047623749,0.00159389242993149
6000,4.50356306724489,NaN
6500,NaN,0.00137969926565373
7000,4.7501016043175,NaN
7500,NaN,0.00162706978846908
8500,1.99846014405448,NaN
