timepoint,cGlu_Obs,Ind_Obs
0,-0.573125220742655,-0.00828881036256667
350,0.478635368275657,NaN
500,NaN,-0.00607269676023479
750,0.235010085713879,NaN
1000,1.22680545488815,-0.00605400350829858
1500,2.16944731482791,0.00221495234183541
2000,6.8606411231013,0.0911724480265415
2500,7.41080982243582,NaN
3000,5.52550888005354,0.131876077339475
3500,5.18537542153266,0.112758305449626
4500,4.61086974672696,0.0567288256226692
5500,4.24622682796863,0.0419309968808409
6500,3.43620504817621,NaN
7000,NaN,0.03224917919183
7500,2.6318068888084,NaN
8500,NaN,0.027136601255707
