timepoint,cGlu_Obs,Ind_Obs
0,-0.327240408461851,-0.0230212545677346
350,0.0784171029403765,NaN
400,NaN,0.0446222274537334
700,1.90280236263821,NaN
800,NaN,0.0458685895238019
1000,6.16747718837115,0.218892801498282
1500,4.91825955215389,0.514468228216519
2000,8.33845364011856,0.788120758539902
2500,5.51136069672346,0.631017888031169
3000,6.0884219328532,NaN
3500,5.54254832031867,0.43082919167575
4000,NaN,0.342059145957753
4500,4.15666596268022,NaN
5000,NaN,0.201178714908747
5500,2.34074507624441,NaN
6000,NaN,0.132037284457735
6500,4.1373188953592,NaN
7500,2.66676011221245,0.111005923880537
