timepoint,cGlu_Obs,Ind_Obs
0,-0.0354585632889377,-0.00866486483398082
350,NaN,0.0375027643267932
400,1.72540920415594,NaN
700,NaN,0.056664132259278
800,5.59144499658531,NaN
1000,6.65760159390684,0.351447026082243
1500,9.17913715071226,0.739742215661565
2000,7.76114179617096,0.683762873671274
2500,5.80389706562122,0.612915330361123
3000,NaN,0.492055749917292
3500,5.27099588795778,0.323747321497835
4000,4.95734100708657,0.291568865456128
5000,3.77583978274476,0.264539924769576
6000,3.17853376965746,0.145954157517314
7000,5.6466155530391,0.10997397455433
8500,2.1671795427755,NaN
