timepoint,cGlu_Obs,Ind_Obs
0,0.0447838260393069,-0.0095001063969998
450,0.105423774560675,0.0354028115593766
900,0.14447355638868,0.05505792729382
1500,0.277264885388746,0.114812182563884
2000,0.40296758739802,0.132607340660713
2500,0.434649895593039,0.137649091240442
3000,0.60002832006318,0.412961468556117
4000,0.821601410764559,0.655097785120945
4500,NaN,0.719454456108545
5000,0.659001403626807,NaN
6000,0.485397461693376,0.413460748856661
7000,0.431172200204051,0.313273618345028
8500,0.234576437194345,0.165029703830497
