timepoint,cGlu_Obs,Ind_Obs
0,-0.0459743341916773,0.0317544197401401
350,1.38573034053455,NaN
450,NaN,-0.0384249774392522
750,3.06280269786179,NaN
900,NaN,0.141288239130058
1000,5.84483091998779,NaN
1500,8.13239491643071,0.662184073566086
2000,7.85916555586951,0.772635710492511
2500,5.35301393953836,0.5682263651183
3000,5.19402166604176,0.53042273213912
3500,3.90864572732797,NaN
4000,NaN,0.285889274138979
4500,3.10251437618016,NaN
5000,2.77451997531559,0.223386830543751
6000,2.56609653022155,0.224345291948585
7000,2.21561812889388,0.203215566156941
8500,3.74756941862789,0.104976039560207
