timepoint,cGlu_Obs,Ind_Obs
0,0.591024493992214,0.00013631894823752
350,10.8884816294358,NaN
450,NaN,0.00517612021856645
700,8.85001713613432,NaN
900,NaN,0.00431671769685047
1000,7.44581977202721,NaN
1500,7.34950916494328,0.00377825524971591
2000,7.6206842912412,0.00377544671394176
2500,8.2408904361552,0.00334746406413821
3000,7.06892260960003,0.00202044372408834
3500,6.06500320383442,0.00280437801345768
4000,5.13795842957597,NaN
4500,NaN,0.00228785932374241
5000,7.56932002004793,NaN
5500,NaN,0.00194045465223919
6000,3.66376047431596,NaN
6500,NaN,0.00107628733892027
7000,3.15833107565091,NaN
8000,NaN,0.000773463670536183
