timepoint,cGlu_Obs,Ind_Obs
0,1.15315152358195,-0.000159146222238558
300,9.93196998687485,NaN
400,NaN,0.00487074307357591
650,9.26209673151771,NaN
850,NaN,0.00497920492560737
1000,9.03980269540093,NaN
1500,9.08733095353992,0.00343238827734415
2000,7.80764579404418,NaN
2500,3.81587889967983,0.00333562099540249
3000,3.90175165905855,0.00250940270574312
3500,NaN,0.00261858258572949
4000,6.35688724476983,0.00263263973099239
4500,7.03576016208593,NaN
5000,NaN,0.00152788378713269
5500,4.6751911794949,NaN
6000,NaN,0.00141559511707201
6500,2.9829746401564,NaN
7500,5.01884164374477,0.00144405125771266
