timepoint,cGlu_Obs,Ind_Obs
0,-0.190220966759105,-0.0121104026718498
400,0.711759337782253,0.0540152114482948
800,NaN,0.0603672740442559
850,2.16929585046765,NaN
1000,NaN,0.03589720957163
1500,6.60177397521059,0.28431355272302
2000,7.48142690050949,0.690242834678087
2500,5.90501266362471,NaN
3000,5.88667031239406,0.516901482783527
3500,NaN,0.551299015092669
4000,4.80977351285153,NaN
4500,4.78641423141079,0.296696644496382
5000,NaN,0.326899323050912
5500,4.48284538873894,NaN
6500,NaN,0.178475204592035
7000,2.66600167899942,NaN
7500,NaN,0.11166615835613
8500,2.38993366191153,NaN
