timepoint,cGlu_Obs,Ind_Obs
0,0.225860447530824,-0.000138323031154716
350,12.4400428045611,NaN
500,NaN,0.00503839333050692
650,8.70499219631257,NaN
950,NaN,0.00488195146003322
1000,9.31988305801949,NaN
1500,7.76124343264989,0.00449221831471876
2000,7.42354150571592,0.0036165877079789
2500,6.13485273637532,0.00386385137147528
3000,8.39301140457506,NaN
3500,4.91418618089479,0.00257265380578989
4000,5.44918701593698,0.00182220762549815
5000,7.18706608419875,0.00188658712061329
6000,3.08848266223934,0.00154130119480475
7000,4.07782919196259,0.00154291095684706
8500,NaN,0.000763086993898603
