timepoint,cGlu_Obs,Ind_Obs
0,0.279366014719817,-0.0235159178924602
400,-0.12490658820887,0.0119769397637717
800,NaN,0.151996579693162
850,3.05725749494136,NaN
1000,NaN,0.194979124794766
1500,6.61507249779974,0.529623818622474
2000,8.28726538396366,0.717977881259059
2500,6.76838360674794,NaN
3000,6.21375251563938,0.493473514064113
3500,4.25844527752548,0.421254155900059
4000,NaN,0.326876567490448
4500,5.08571092255881,NaN
5000,NaN,0.170982733429484
5500,2.44875760508508,NaN
6500,NaN,0.260279602718781
7000,2.11651730203578,NaN
7500,NaN,0.0833078796673631
8500,2.3699635142938,NaN
