timepoint,cGlu_Obs,Ind_Obs
0,0.0385482068437186,0.0389941959055942
350,0.235849110867725,NaN
450,NaN,-0.0350891230180682
750,0.182182840334168,NaN
950,NaN,-0.0256756818107839
1000,0.264923234505002,NaN
1500,0.370031706456621,0.215758712121892
2000,0.66354109741845,0.391551856487586
2500,1.07470247897388,0.956033232887859
3000,1.14698246126919,NaN
3500,NaN,1.03142688428642
4000,0.736546190304186,0.653019479770506
4500,0.540398480180779,NaN
5000,NaN,0.206430274345656
5500,0.173656289664358,NaN
6000,NaN,0.0641051778565067
6500,0.156112819630861,NaN
7000,NaN,-0.00767938193307941
8500,NaN,-0.048020876491904
