timepoint,cGlu_Obs,Ind_Obs
0,0.859354280758585,-0.00063881825605919
300,9.75274119831557,NaN
400,NaN,0.00585354126432551
650,9.41751875048443,NaN
850,NaN,0.004701555209826
950,10.1934447969481,NaN
1500,7.58905966050782,0.00392095262110362
2000,8.39811806702223,0.00336959112688497
2500,5.61241267301355,NaN
3000,7.35662373310335,0.00233698514154317
3500,5.41107626673168,0.00168908053542328
4000,NaN,0.00102993947814213
4500,6.62639682760153,NaN
5000,NaN,0.00206528243790638
5500,3.47634507470632,NaN
6000,NaN,0.0015626568467678
6500,3.58958217490628,NaN
7500,3.20146542754672,0.00132831434578448
