t,Epo_Obs,Epo_EpoR_i_Obs
0,1956.4476264869,10.4362200999491
30,2072.76954165821,NaN
35,NaN,134.706033419016
60,1518.97926394869,NaN
70,NaN,220.034269435513
90,1440.02211562841,NaN
100,NaN,216.468467657637
150,939.250734263604,236.894290371114
200,903.736318687422,220.996295935768
250,682.262344665059,186.650210636799
300,688.055051441592,159.647487873532
350,588.86166078536,150.344844717035
400,NaN,118.939653331069
450,288.620923502175,NaN
500,NaN,98.5344565984324
550,152.79061748623,NaN
600,NaN,32.4500955191391
650,397.256534370988,NaN
750,NaN,8.30482973963661
