t,EpoR_Obs,Epo_EpoR_i_Obs,dEpo_e_Obs
0,521.222381308567,-1.94238051623097,-33.0553999829463
20,NaN,215.160919524991,NaN
25,204.511301620485,NaN,NaN
35,NaN,NaN,106.967894858211
45,NaN,326.376954758786,NaN
50,168.461935089337,NaN,NaN
65,NaN,419.97036941556,NaN
70,NaN,NaN,358.767172157901
75,234.952729164793,NaN,NaN
90,NaN,398.899935065152,NaN
100,213.856190414315,508.840531504756,202.099201683349
150,470.551205141218,396.226125327422,625.179590881239
200,375.044112867783,230.144858253159,599.032734899291
250,426.748939459537,200.257612469637,782.174181076695
300,508.924271639899,143.188722197836,701.566865125114
350,402.833707373431,4.22886304055444,NaN
400,NaN,-21.5220538474874,1108.42053510565
450,524.694195012014,NaN,974.810719201925
500,NaN,-6.40395856146972,NaN
600,NaN,NaN,1178.49651722064
700,NaN,NaN,1065.24495817819
