t,K27me0K36me0_Obs,K27me2K36me0_Obs,K27me1K36me2_Obs,Compound_1_Obs,Compound_2_Obs
0,0.00302339222971808,0.0030499869364763,0.766916159378931,0.12254199017445,1.12082996231714
0.3,9.74279815423488e-05,NaN,NaN,NaN,NaN
0.6,-0.000101190237599946,NaN,NaN,NaN,NaN
0.95,1.57357333394537e-05,NaN,NaN,NaN,NaN
1.5,-2.33998537964141e-05,NaN,NaN,NaN,NaN
2,-8.70122354483471e-05,NaN,NaN,NaN,NaN
3,0.000113575771016828,0.00277226828774403,NaN,0.156204158122017,NaN
3.5,NaN,NaN,NaN,NaN,1.36784494072952
4,NaN,NaN,0.858796991093601,NaN,NaN
6,NaN,NaN,NaN,0.226439453877601,NaN
6.5,NaN,0.00358141621904667,NaN,NaN,NaN
7,NaN,NaN,NaN,NaN,0.735416210897258
8.5,NaN,NaN,0.837790969174537,NaN,NaN
9.5,NaN,NaN,NaN,0.221438624129422,NaN
10,NaN,0.00155137829156011,NaN,NaN,1.00689547037673
15,NaN,0.00280591771502372,0.917110064368827,0.142040703010429,1.18843358399236
20,NaN,0.00266939423040429,0.843359012351166,0.0868499689651094,0.923735759535323
25,NaN,0.00352395718487683,0.734761814464875,0.238690134130064,1.23559466453916
30,NaN,0.00422210804265155,0.381109669946106,NaN,0.804180115116852
35,NaN,0.00235274749731308,NaN,0.152987153364382,0.757056600574779
40,NaN,0.00318664602634219,0.675446248959638,0.217194473281314,NaN
45,NaN,NaN,NaN,NaN,1.13175808735353
50,NaN,0.00372346814430748,1.0179708057098,0.242955013380753,0.990649246274293
60,NaN,0.00443201524086917,0.696576153829739,0.167452506599409,NaN
