t,IPR_I1_Obs,IPR_S_Obs
0,4.44462451997989e-09,0.00176959459604423
0.2,NaN,0.0996554165513739
0.35,2.22127967390454e-07,0.201583402277777
0.55,NaN,0.259553265327979
0.65,1.38091215384144e-07,NaN
0.8,NaN,0.290830930404836
1,6.87319604667132e-08,0.323984728519983
1.5,2.34793690388757e-08,0.348832634714301
2,1.08229428207463e-08,0.306055509405457
2.5,3.11793199600188e-09,0.304968073046962
3,5.31492115657125e-09,0.30711266864411
3.5,-2.88278612854741e-09,0.335719416731476
4,-3.41437300986006e-09,NaN
5,1.51965542923355e-09,NaN
6,1.06318891075627e-09,NaN
