t,IPR_I1_Obs,IPR_S_Obs
0,5.53575867245052e-10,-0.0236801696751772
0.15,NaN,0.102090877026829
0.3,6.7355466663502e-08,NaN
0.35,NaN,0.219682920360928
0.55,4.15919177735133e-08,0.267581291154537
0.75,NaN,0.29679576525518
0.85,2.39706754226388e-08,NaN
1,1.94770654230972e-08,0.304459731462456
1.5,6.49461811530763e-09,0.310952596194965
2,3.69488862969346e-09,NaN
2.5,1.08715666824796e-09,NaN
3,4.07738425149311e-10,NaN
3.5,-1.14922584734203e-09,NaN
4,-4.00584578035795e-10,NaN
5,7.27777306527467e-10,NaN
