t,IPR_I1_Obs,IPR_S_Obs
0,1.86018717166631e-09,-0.0112600096885455
0.2,1.61750100967599e-07,NaN
0.25,NaN,0.171557037174965
0.4,1.2029612171997e-07,NaN
0.45,NaN,0.25079541822928
0.6,8.0714528433634e-08,NaN
0.75,NaN,0.293025659019109
0.85,5.51924945309616e-08,NaN
1,3.27320117906852e-08,0.315253459407515
1.5,8.75537705526113e-09,0.329874272962323
2,7.31019682982084e-09,0.306577913827349
2.5,2.31824738851947e-09,0.319868555764361
3,8.61172769309771e-10,NaN
3.5,9.10009153504793e-10,NaN
4,-1.64107715447904e-09,NaN
