t,Ins_Obs,Rec2_Obs,IR1_Obs,InsulinFragments_Obs
0,9.99526367143814,2381.6391704329,-0.00155985018530772,-0.15475068702083
4,2.30733494467615,NaN,NaN,NaN
5,NaN,NaN,0.0580098503068068,NaN
8.5,1.35250399527919,NaN,NaN,NaN
9.5,NaN,2317.29913930573,NaN,-0.212574707818744
10,NaN,NaN,0.033866271446903,NaN
15,0.8833643471287,NaN,0.0280305896989492,NaN
20,0.831056062225616,2551.59102240312,0.0216477161230727,1.17245277576039
25,0.574641337311358,NaN,0.0193713985442671,NaN
30,0.577046264217526,1867.79410185075,NaN,1.33651056317828
35,NaN,NaN,0.018194400482026,NaN
40,0.55390503500958,2263.29083997877,NaN,2.15248126228899
45,0.562128051874168,NaN,0.0169244405095341,NaN
50,NaN,1948.83021686336,NaN,NaN
55,0.328793480214098,NaN,0.0181802190546306,2.44793499032482
65,NaN,2079.1617452614,0.0150275149828153,NaN
70,0.604271946980544,NaN,NaN,3.47968542930364
75,NaN,2171.55521595083,NaN,NaN
80,NaN,NaN,0.0136081868646602,NaN
85,NaN,NaN,NaN,3.81765243040467
95,NaN,2455.05560695869,NaN,NaN
100,NaN,2371.85503040419,NaN,4.34240532765462
150,NaN,2167.69035548858,NaN,6.35789565887739
200,NaN,2245.07834728812,NaN,NaN
