t,Ins_Obs,IR1_Obs,IR2_Obs,InsulinFragments_Obs
0,10100.2518180728,0.306707516733395,3.54050486215648,-65.1794587289324
3.5,NaN,25.5503432463644,297.342139429568,NaN
6.5,NaN,16.2718399733151,NaN,NaN
7,NaN,NaN,148.400537627223,NaN
8,3552.85720385943,NaN,NaN,NaN
8.5,NaN,NaN,NaN,114.386465348416
10,NaN,13.0216722397187,116.057841104381,NaN
15,3749.83385747798,10.140965626636,96.8888595149856,241.10743104887
20,NaN,9.67637041011588,105.319451124198,NaN
25,3214.47219963334,10.8121725133649,105.28349682367,284.182107012812
30,NaN,8.74473441602719,98.3557442926167,NaN
35,3322.18384273073,9.83847344671547,NaN,591.929440343792
40,NaN,NaN,106.873415583925,NaN
45,3443.96786800701,10.7772972828882,NaN,650.00100492926
50,NaN,NaN,100.447742542555,NaN
55,3537.18857377037,9.69628475076836,NaN,882.462821935282
60,NaN,NaN,106.79583983729,NaN
65,3779.35758602791,NaN,NaN,NaN
70,NaN,NaN,NaN,1156.32721376014
80,2297.15368915582,NaN,NaN,NaN
85,NaN,NaN,NaN,1244.14922280256
95,3207.84840489336,NaN,NaN,NaN
100,2842.36535757286,NaN,NaN,1815.08231356195
150,2497.08519113146,NaN,NaN,2589.36638304912
200,2151.19497553096,NaN,NaN,3231.41188300982
