t,Ins_Obs,IR1_Obs,IR2_Obs,InsulinFragments_Obs
0,99.6303625455828,-0.0326962524330993,0.0532561259334428,-3.72703721835166
3.5,22.6866388301235,NaN,NaN,NaN
4.5,NaN,0.597680035160999,8.15925348901644,NaN
7.5,15.4725768727154,NaN,NaN,NaN
8.5,NaN,0.336779497245672,5.84182753689758,NaN
9,NaN,NaN,NaN,4.12258645215902
10,12.4455633235897,NaN,NaN,NaN
15,10.9250671047763,0.274346746156389,3.80638078287431,NaN
20,8.34504911957237,0.225203853382051,3.25778432468409,11.9084704040065
25,6.84291734087763,0.168602265472088,3.2952152348459,NaN
30,7.8093526346449,0.197786777646618,2.78604372111178,14.9244568991981
35,NaN,0.171182596970328,2.59269593985568,NaN
40,5.22254732149815,NaN,NaN,23.4501537821011
45,5.54711307790064,0.181314013286259,2.09380110298217,NaN
50,NaN,NaN,NaN,26.1863237892243
55,8.55404246192485,0.156035392800195,2.06138506119393,NaN
60,NaN,NaN,NaN,27.6870311877808
65,2.92400289959428,0.142610473139722,2.36957446735481,NaN
75,NaN,0.116829503531997,NaN,37.7008069200567
80,NaN,NaN,2.42336508856509,NaN
90,NaN,NaN,NaN,39.4677242411681
100,NaN,NaN,NaN,50.3682280893553
150,NaN,NaN,NaN,61.7576052150182
200,NaN,NaN,NaN,69.2744575891142
