t,Ins_Obs,Rec2_Obs,IR1_Obs,InsulinFragments_Obs
0,0.019062408995446,2226.39560686893,-0.0464791151987413,0.11402341858121
5,NaN,NaN,0.164469559463853,NaN
6,-0.148452436037091,NaN,NaN,0.0893441510751251
6.5,NaN,2502.53217799003,NaN,NaN
10,0.0364021361854556,NaN,0.0819370084603459,-0.113662991208982
15,NaN,2263.82795436866,0.0204287845911087,NaN
20,0.061443846906642,2477.92311985581,NaN,-0.0271899334072558
25,NaN,NaN,0.135202123973642,0.137909721906207
30,-0.0871211587725878,2517.7003975412,-0.0501401822826984,NaN
35,0.0569533953228028,NaN,NaN,-0.0489145234736015
40,NaN,2394.18550474712,NaN,NaN
