t,ApoER2_Dab1_Obs,ApoER2_re_Dab1SFK_Obs,ApoER2_Dab1_released_Obs
0,1.49118329134552,9.86451217516654e-13,8.22270844592851e-07
9.5,NaN,2.10625604958889e-10,NaN
20,NaN,2.24466835574079e-10,NaN
25,NaN,NaN,1.04847351205925e-06
30,1.16282747460162,2.01678942123874e-10,NaN
40,NaN,2.25653300900341e-10,NaN
50,NaN,2.47326406263815e-10,NaN
55,NaN,NaN,1.71409643326547e-06
60,0.971069763084529,NaN,NaN
65,NaN,2.16428585318839e-10,NaN
80,NaN,2.41119454549322e-10,2.4644368788582e-06
95,0.76917353725105,NaN,NaN
100,NaN,2.30282033320986e-10,2.57327293690677e-06
150,0.647388527768575,2.11338803704885e-10,3.27744705105828e-06
200,0.536250728504234,NaN,3.93159264794762e-06
250,0.433184629333263,NaN,4.6329273361299e-06
300,0.407049941459898,NaN,NaN
350,NaN,NaN,5.14608489881888e-06
400,0.380628641756686,NaN,6.76272034752195e-06
500,0.351019534104399,NaN,7.03725988059235e-06
600,0.338616920442738,NaN,7.3146629500184e-06
