t,ApoER2_Dab1_Obs,ApoER2_re_Dab1SFK_Obs,ApoER2_Dab1_released_Obs
0,1.04631335077847,1.11157017083378e-06,0.322970094921086
15,NaN,NaN,1.1863533038348
25,0.107913597715996,0.000341763500089885,NaN
30,NaN,NaN,1.06874015983284
45,NaN,0.00033059765979681,NaN
50,0.119054444002964,NaN,0.847744406209387
65,NaN,NaN,0.681969284777303
70,NaN,0.000262313924612453,NaN
75,0.114377013587452,NaN,NaN
85,NaN,NaN,0.689779042696175
100,0.139299879076249,0.000193652579718484,0.611795980009233
150,0.14583539718451,0.000160084482689113,0.566803370803374
200,0.189121771629702,0.000128286620326685,0.358795648405232
250,0.229308246173624,9.25434746186537e-05,0.319059711713231
300,0.302150360725044,6.63370161337222e-05,0.2541255239426
350,0.318856150406297,4.94433630902122e-05,NaN
400,0.421426383935526,3.527571034992e-05,NaN
450,0.494586328618251,NaN,NaN
550,0.506141947633221,NaN,NaN
