t,ApoER2_Dab1_Obs,ApoER2_Dab1_released_Obs,SFK_Obs
0,1.41517174939546,7.84791264192021e-07,1.84155320642356e-08
4,NaN,6.43719128083459e-07,NaN
8,NaN,6.66245773347154e-07,NaN
10,NaN,5.59578527225578e-07,NaN
15,NaN,6.20646869829371e-07,NaN
25,1.51667552207001,5.90250852953079e-07,1.55037629934508e-08
30,NaN,6.06917575474614e-07,NaN
35,NaN,6.19426304833939e-07,NaN
55,1.60381030678682,NaN,1.63856433735821e-08
80,1.64085016841577,NaN,NaN
85,NaN,NaN,1.41303447293303e-08
100,1.5405255393239,NaN,1.57266934844998e-08
150,1.69715673732126,NaN,1.29923591719247e-08
200,2.07787352140332,NaN,1.18220870671874e-08
250,2.33765334105742,NaN,1.27624847269939e-08
300,2.21637593641017,NaN,1.30969715928769e-08
350,2.26010202850248,NaN,1.25818751382631e-08
450,2.39874269432301,NaN,1.1110130463817e-08
550,2.92670470815753,NaN,1.18960793748878e-08
